theta,theta_local,t,cyl_T,cyl_p,cyl_a,pipe_T,pipe_p,pipe_rho,pipe_u,pipe_a,pipe_AA,T_isentropic,a_isentropic,mdot_exhaust,T_error_K,T_error_frac,a_ratio_isentropic_to_pipe
1654.195627540359,214.19562754035906,0.0,1648.1781960750848,351374.40981778107,799.1161630634758,415.14230544729884,316736.33773108793,2.6583918776281736,42.89131756019061,408.4166724421576,0.999600023884522,1604.422594649039,788.4374003665542,0.0905591859692064,1189.28028920174,0.7412512720577151,1.9304731015314205
1654.941706990215,214.94170699021493,0.0,1645.3857175037751,348421.1963916204,798.4389120319962,416.1391112720196,319406.1615821496,2.674378410594973,39.807719093950766,408.9067068526725,0.999600023884522,1608.7100027817253,789.4901459662302,0.08455402243076073,1192.5708915097057,0.7413212384131097,1.9307341570474177
1655.6945454714999,215.69454547149985,0.0,1642.7668290826666,345730.6939277573,797.8032388553454,416.9585541358477,321612.9475053968,2.6875635322337614,36.802725572662354,409.3091094170561,0.999600023884522,1612.2561414748702,790.3598180667072,0.07855662969171591,1195.2975873390226,0.7413819408655379,1.930960733300925
1656.4557180728639,216.45571807286387,0.0,1640.323210053321,343304.2336197178,797.2096510549526,417.62207779756136,323407.8002032255,2.6982683785395274,33.89565579927643,409.63465534432044,0.999600023884522,1615.128879278598,791.0636411038577,0.07263957596262166,1197.5068014810367,0.7414311123059768,1.9311443277154499
1657.2274333834,217.2274333834,0.0,1638.0521385331954,341140.0187533823,796.6575808179363,418.1516446638621,324845.4204009754,2.7068303825993247,31.103709473863105,409.89429225830867,0.999600023884522,1617.398093578173,791.6191580279391,0.06686784563749464,1199.246448914311,0.7414664662187253,1.9312763631484617
1658.0129649632502,218.01296496325017,0.0,1635.9465172547852,339233.6124570815,796.1453875457463,418.54567108689395,325918.0451587384,2.7132115399855725,28.384634527990865,410.0873695235126,0.999600023884522,1619.0507458718787,792.0234917526496,0.061166141299282516,1200.5050747849848,0.7414869965292521,1.931353049651139
1658.8132951815096,218.8132951815096,0.0,1633.9975198277987,337584.47926600673,795.6709992561503,418.816945886871,326657.98237742245,2.7176100070547786,25.746962856944936,410.22024432900037,0.999600023884522,1620.1185201307646,792.2846209694246,0.05557215788217406,1201.3015742438936,0.741489933802456,1.931364021942333
1659.619461996437,219.61946199643694,0.0,1632.2267402045657,336198.03619817866,795.2397440346269,419.02672820397225,327231.01302981965,2.7210143625813985,23.355594793987816,410.3229696133962,0.999600023884522,1620.8267635731377,792.457777768893,0.05047378661758807,1201.8000353691655,0.7414734642706533,1.931302501820802
1660.4261495328865,220.42614953288648,0.0,1630.7189051851446,335074.9779659647,794.8723418348285,419.19085729892316,327679.8400312671,2.72367963903905,21.237134553051522,410.40332170038215,0.999600023884522,1621.3108688155035,792.5761137724041,0.045940536663020705,1202.1200115165802,0.7414494250537064,1.931212716526281
1661.2321350595842,221.23213505958415,0.0,1629.441287374201,334198.7506523232,794.5609018779708,419.32393360698734,328044.07282176404,2.725841801740161,19.397739455108113,410.46845983983656,0.999600023884522,1621.6077571285782,792.6486772205374,0.041994836070173056,1202.2838235215909,0.7414146967639728,1.931083030179289
1662.035338771049,222.03533877104906,0.0,1628.3447645251965,333543.3351874283,794.2935093624318,419.43604410731234,328351.14609302155,2.727664120623426,17.836892368984945,410.52332762258237,0.999600023884522,1621.7348122982307,792.6797291623834,0.03864152023116178,1202.2987681909185,0.741365825703087,1.9309005745250591
1662.83538877783,222.83538877783008,0.0,1627.4179651103145,333081.829401018,794.0674345305891,419.5351783919859,328622.8482043217,2.7292761242296106,16.547195947890213,410.5718386322909,0.999600023884522,1621.7414360954342,792.6813479672497,0.03586873058396617,1202.2062577034483,0.7413057537691862,1.9306763722710583
1663.631789976884,223.63178997688397,0.0,1626.625853947029,332785.8272136492,793.8741632726036,419.6261357696077,328872.280705299,2.730755667420259,15.517589670532747,410.61634326001735,0.999600023884522,1621.6447218544079,792.657711425613,0.03365512660505249,1202.0185860848,0.7412342357641997,1.9304095524606848
1664.417325476408,224.417325476408,0.0,1625.9486182079718,332627.81673505687,793.7088837380358,419.71023651155576,329103.0305460224,2.732124106371701,14.740336054588118,410.65748870602994,0.999600023884522,1621.4639844998267,792.6135381094988,0.03198541053922068,1201.7537479882708,0.7411535251330149,1.9301085695697442
1665.192385651879,225.19238565187902,0.0,1625.4293727814393,332580.9875528624,793.582138460896,419.78848110139756,329317.8165037204,2.7333976267798006,14.194749053991973,410.6957653866686,0.999600023884522,1621.2795537712104,792.5684595722036,0.03081588142415492,1201.4910726698129,0.7410758187106351,1.9298189228369647
1665.9593784944248,225.95937849442475,0.0,1624.9823625265772,332618.68870110554,793.4730092201766,419.85977851499945,329513.6192276075,2.734558384013183,13.85764851811529,410.73064045348116,0.999600023884522,1621.0358386147625,792.5088868090312,0.03009683688670858,1201.1760600997632,0.7409929080446577,1.929510021297741
1666.7201585872317,226.7201585872317,0.0,1624.5692732657988,332717.82350702153,793.3721478138956,419.9217665428262,329683.9233293818,2.735567820140119,13.708459445981127,410.7609594361514,0.999600023884522,1620.7156455352197,792.4306132795609,0.02978381099118377,1200.7938789923935,0.7409034905662599,1.929177043425268
1667.476103982854,227.47610398285406,0.0,1624.177142079877,332858.3539163346,793.2763917442952,419.9712736363042,329819.98282553547,2.7363741726431625,13.728906037927763,410.7851722580393,0.999600023884522,1620.3203821764587,792.3339776093595,0.029837026074460128,1200.3491085401545,0.74080973228752,1.928828086111263
1668.228319698751,228.22831969875097,0.0,1623.794805991764,333022.5779549964,793.1830164479752,420.0045756298921,329911.5286843779,2.7369166629301427,13.902568428954602,410.8014587219605,0.999600023884522,1619.8483537980067,792.21855865603,0.03022043603749849,1199.8437781681146,0.7407136448019219,1.9284706561673166
1668.9772552152974,228.97725521529742,0.0,1623.4111447712453,333194.68861468247,793.0893064728707,420.0176103712986,329947.3656130404,2.737129016755557,14.214578766414231,410.8078332349418,0.999600023884522,1619.2943052894504,792.0830629324159,0.030901059197054898,1199.2766949181519,0.7406168792175057,1.9281109045440767
1669.7237561873078,229.7237561873078,0.0,1623.0205903167503,333360.34536708996,792.9939014382298,420.00608827617333,329915.68731985264,2.736941305506887,14.651498053281806,410.8021984719245,0.999600023884522,1618.6558401259442,791.9268938840233,0.031848692898928964,1198.6497518497708,0.74052168604075,1.9277571951410726
1670.4684087619637,230.4684087619637,0.0,1622.6084170601089,333506.69236468594,792.8932028904896,419.96566783026856,329804.5744716524,2.736282860271041,15.20146504634997,410.78243065423567,0.999600023884522,1617.9193429261888,791.746707866065,0.03303623389865441,1197.9536750959203,0.7404285512337633,1.9274113223515517
1671.2115893780217,231.2115893780217,0.0,1622.1673777424874,333621.99610876467,792.7854378747927,419.8919986913021,329602.13215679035,2.7350830414636684,15.853873650836583,410.7463999527752,0.999600023884522,1617.077187513193,791.5406220163225,0.03443895856763865,1197.1851888218907,0.7403389263458542,1.9270786599890548
